polyid,geometry
0,"POLYGON ((116.089782320559 39.69262526721095, 116.0956130919469 39.69267082846058, 116.0956718708906 39.68816624835186, 116.0898414783357 39.68812069434324, 116.089782320559 39.69262526721095))"
1,"POLYGON ((116.0956130919469 39.69267082846058, 116.1014438765447 39.6927160969778, 116.1015022766521 39.68821150967457, 116.0956718708906 39.68816624835186, 116.0956130919469 39.69267082846058))"
2,"POLYGON ((116.1014438765447 39.6927160969778, 116.1072746742672 39.69276107276064, 116.107332695535 39.68825647830944, 116.1015022766521 39.68821150967457, 116.1014438765447 39.6927160969778))"
3,"POLYGON ((116.1072746742672 39.69276107276064, 116.1131054850294 39.69280575580714, 116.1131631274543 39.68830115425449, 116.107332695535 39.68825647830944, 116.1072746742672 39.69276107276064))"
4,"POLYGON ((116.1131054850294 39.69280575580714, 116.118936308746 39.69285014611543, 116.1189935723249 39.68834553750781, 116.1131631274543 39.68830115425449, 116.1131054850294 39.69280575580714))"
5,"POLYGON ((116.118936308746 39.69285014611543, 116.1247671453321 39.69289424368353, 116.1248240300616 39.68838962806748, 116.1189935723249 39.68834553750781, 116.118936308746 39.69285014611543))"
6,"POLYGON ((116.1247671453321 39.69289424368353, 116.1305979947023 39.69293804850957, 116.1306545005795 39.6884334259316, 116.1248240300616 39.68838962806748, 116.1247671453321 39.69289424368353))"
7,"POLYGON ((116.1305979947023 39.69293804850957, 116.1364288567718 39.69298156059165, 116.1364849837933 39.68847693109828, 116.1306545005795 39.6884334259316, 116.1305979947023 39.69293804850957))"
8,"POLYGON ((116.1364288567718 39.69298156059165, 116.1422597314553 39.69302477992786, 116.142315479618 39.6885201435656, 116.1364849837933 39.68847693109828, 116.1364288567718 39.69298156059165))"
9,"POLYGON ((116.1422597314553 39.69302477992786, 116.1480906186676 39.69306770651638, 116.1481459879684 39.68856306333176, 116.142315479618 39.6885201435656, 116.1422597314553 39.69302477992786))"
10,"POLYGON ((116.1480906186676 39.69306770651638, 116.1539215183238 39.69311034035534, 116.1539765087596 39.68860569039487, 116.1481459879684 39.68856306333176, 116.1480906186676 39.69306770651638))"
11,"POLYGON ((116.1539215183238 39.69311034035534, 116.1597524303386 39.69315268144287, 116.1598070419063 39.68864802475308, 116.1539765087596 39.68860569039487, 116.1539215183238 39.69311034035534))"
12,"POLYGON ((116.1597524303386 39.69315268144287, 116.1655833546269 39.69319472977718, 116.1656375873235 39.68869006640458, 116.1598070419063 39.68864802475308, 116.1597524303386 39.69315268144287))"
13,"POLYGON ((116.1655833546269 39.69319472977718, 116.1714142911036 39.69323648535643, 116.1714681449261 39.68873181534753, 116.1656375873235 39.68869006640458, 116.1655833546269 39.69319472977718))"
