polyid,alpha,I_index,flowtotalcnt,flowtotallength
2,823.8826872619017,4.0,4.0,20.755477978448962
108,823.8826872619017,1.0,1.0,5.194733864226948
109,823.8826872619017,1.0,1.0,4.274410046053901
112,823.8826872619017,2.0,2.0,5.862654757402233
136,823.8826872619017,1.0,1.0,6.042239913980605
138,823.8826872619017,1.0,1.0,5.328023134246435
140,823.8826872619017,1.0,1.0,4.790811023609523
154,823.8826872619017,1.0,1.0,19.209437131146586
157,823.8826872619017,1.0,1.0,16.40249578759072
220,823.8826872619017,1.0,1.0,3.268533449539467
221,823.8826872619017,2.0,2.0,10.66825522757557
246,823.8826872619017,2.0,2.0,48.11268071083093
266,823.8826872619017,1.0,1.0,9.00099496704384
295,823.8826872619017,1.0,1.0,32.78163896897937
322,823.8826872619017,3.0,3.0,9.37301089629745
327,823.8826872619017,1.0,1.0,1.4768003471255267
328,823.8826872619017,1.0,1.0,4.821638821633061
337,823.8826872619017,1.0,1.0,7.639575619839626
351,823.8826872619017,1.0,1.0,5.060539237945102
358,823.8826872619017,2.0,2.0,5.708055743768228
366,823.8826872619017,1.0,1.0,4.720529211296477
378,823.8826872619017,1.0,1.0,11.842361436659575
384,823.8826872619017,1.0,1.0,24.467446010417394
400,823.8826872619017,1.0,1.0,4.117772092180471
428,823.8826872619017,1.0,1.0,2.3184272919148876
429,823.8826872619017,2.0,2.0,5.1452850588654355
431,823.8826872619017,1.0,1.0,2.271405868186527
432,823.8826872619017,1.0,1.0,2.2817531066590804
436,823.8826872619017,1.0,1.0,6.8936809194813184
445,823.8826872619017,1.0,1.0,6.882923773187301
462,823.8826872619017,2.0,2.0,20.075350577164354
464,823.8826872619017,3.0,3.0,16.061903048326247
467,823.8826872619017,1.0,1.0,8.095440839179206
473,823.8826872619017,1.0,1.0,8.755243088049653
476,823.8826872619017,1.0,1.0,9.903980156647517
477,823.8826872619017,1.0,1.0,7.014076993472066
490,823.8826872619017,1.0,1.0,24.74184030887394
532,823.8826872619017,1.0,1.0,1.4651252374095756
535,823.8826872619017,1.0,1.0,2.125983114017467
538,823.8826872619017,1.0,1.0,0.931316578267119
539,823.8826872619017,2.0,3.0,4.584546364988844
542,823.8826872619017,2.0,2.0,6.603259738228032
569,823.8826872619017,2.0,2.0,6.98069865962023
572,823.8826872619017,1.0,1.0,4.808522206857583
620,823.8826872619017,1.0,1.0,7.11624908766002
637,823.8826872619017,3.0,3.0,16.291602280800937
638,823.8826872619017,1.0,1.0,3.015273835673872
